"subject_id" "item" "value"
"1" "1298LAOK168" "letter f" 13
"2" "1300KAUS195" "letter f" 12
"3" "1303IEDE175" "letter f" 9
"4" "1307urok178" "letter f" 10
"5" "1320THMA152" "letter f" 7
"6" "1339NESE172" "letter f" 13
"7" "1345kemä172" "letter f" 9
"8" "1352NAMA180" "letter f" 9
"9" "1366GAER180" "letter f" 13
"10" "1368LAAU172" "letter f" 12
"11" "1389ELLI173" "letter f" 18
"12" "1415NEMÄ178" "letter f" 7
"13" "1417nama152" "letter f" 10
"14" "1433LAJU172" "letter f" 8
"15" "1435TEMÄ180" "letter f" 14
"16" "1442NAMÄ165" "letter f" 12
"17" "1445GAMA175" "letter f" 13
"18" "1456NAJU179" "letter f" 7
"19" "1464INJU190" "letter f" 11
"20" "1473ITJA178" "letter f" 9
"21" "1483TAAR180" "letter f" 6
"22" "1484LDAP176" "letter f" 10
"23" "1487ASAU188" "letter f" 7
"24" "1491IAFE174" "letter f" 6
"25" "1494IAAU160" "letter f" 10
"26" "1507tese180" "letter f" 16
"27" "1514TEJU163" "letter f" 9
"28" "1515KAJU170" "letter f" 7
"29" "1517Tano168" "letter f" 11
"30" "1518RAMA163" "letter f" 15
"31" "1522IAMÄ168" "letter f" 10
"32" "1525TAMA168" "letter f" 14
"33" "1532ELFE193" "letter f" 17
"34" "1536TEDE175np" "letter f" 5
"35" "1540ITMÄ172" "letter f" 9
"36" "1543IDNO163" "letter f" 9
"37" "1544LAAU174" "letter f" 12
"38" "1553THMÄ193" "letter f" 10
"39" "1573IAMA180" "letter f" 7
"40" "1580GIJU176" "letter f" 11
"41" "1581NEAP176" "letter f" 9
"42" "1583GASE176" "letter f" 10
"43" "1588AWAU184" "letter f" 16
"44" "1590NISE178" "letter f" 10
"45" "1595NANO166" "letter f" 13
"46" "1600TAMA175" "letter f" 12
"47" "1608LEAU171" "letter f" 15
"48" "1616EADE170" "letter f" 14
"49" "1619RDSE166" "letter f" 9
"50" "1625LIAU168" "letter f" 14
"51" "1626NEMÄ160" "letter f" 11
"52" "1629LAJU170" "letter f" 21
"53" "1630TENO180" "letter f" 14
"54" "1634iaap170" "letter f" 12
"55" "1638KASE170" "letter f" 10
"56" "1645RGJU170" "letter f" 9
"57" "1646NEJA177" "letter f" 14
